patch_id,region,salinity_prior,rank_overall,rank_in_region,ndvi_mean,ndwi_mean,si_mean,ndsi_swir_mean,sr_swir_mean,vh_vv_ratio_mean,vv_mean,water_dominant,vegetation_dominant,bare_soil_dominant,likely_saline_candidate
patch_daan_030,daan,0.6633,1,1,0.0943,-0.0181,638.93,0.1508,1.4251,1.5539,-16.4139,False,False,False,False
patch_daan_003,daan,0.6308,2,2,-0.1244,0.0786,674.56,0.0874,1.1996,1.4453,-18.681,False,False,False,False
patch_daan_013,daan,0.6225,3,3,0.2789,-0.247,774.87,0.1869,1.5094,1.7013,-13.5688,False,False,False,False
patch_pingluo_005,pingluo,0.6192,4,1,0.1145,-0.1842,1236.85,0.0726,1.1593,1.7228,-11.9878,False,False,True,True
patch_pingluo_024,pingluo,0.6083,5,2,0.2044,-0.2742,1274.61,0.096,1.2265,1.7784,-12.0934,False,False,True,True
patch_daan_016,daan,0.6008,6,4,0.2111,-0.2061,561.09,0.1722,1.4667,1.5742,-15.1724,False,False,False,False
patch_pingluo_018,pingluo,0.5942,7,3,0.3026,-0.3031,908.37,0.1578,1.4005,1.6752,-13.1123,False,False,False,False
patch_pingluo_008,pingluo,0.5767,8,4,0.2153,-0.2271,1120.49,0.1083,1.2651,1.6934,-11.9539,False,False,True,True
patch_pingluo_003,pingluo,0.5717,9,5,0.3271,-0.3595,1045.7,0.1281,1.3152,1.6133,-13.496,False,False,True,True
patch_daan_015,daan,0.5567,10,5,0.1325,-0.0665,298.19,0.1528,1.4111,1.718,-14.7969,False,False,False,False
patch_pingluo_004,pingluo,0.545,11,6,0.1406,-0.2223,1357.36,0.0673,1.1451,0.9453,-10.62,False,False,True,True
patch_pingluo_010,pingluo,0.5433,12,7,0.2513,-0.3077,1192.59,0.1022,1.2427,1.8874,-10.847,False,False,True,True
patch_pingluo_029,pingluo,0.5433,13,8,0.1372,-0.2138,1273.06,0.0692,1.1494,0.4768,-10.4731,False,False,True,True
patch_pingluo_016,pingluo,0.5408,14,9,0.1436,-0.2423,1456.58,0.0879,1.1936,0.7161,-8.7734,False,False,True,True
patch_pingluo_013,pingluo,0.54,15,10,0.3155,-0.3263,1011.09,0.1341,1.3325,1.7071,-11.6209,False,False,False,False
patch_pingluo_001,pingluo,0.5358,16,11,0.1445,-0.2201,1128.48,0.0654,1.1407,2.6309,-11.2945,False,False,True,True
patch_pingluo_028,pingluo,0.5283,17,12,0.1319,-0.2086,1190.81,0.0627,1.1346,-12.4117,-10.6279,False,False,True,True
patch_pingluo_009,pingluo,0.5117,18,13,0.1468,-0.2257,1294.13,0.0769,1.1676,4.3458,-8.7157,False,False,True,True
patch_pingluo_017,pingluo,0.5033,19,14,0.2704,-0.3025,1239.0,0.0956,1.2344,2.4659,-10.4316,False,False,True,True
patch_pingluo_022,pingluo,0.46,20,15,0.3179,-0.3531,1093.74,0.117,1.2813,1.8526,-8.9992,False,False,True,True
patch_daan_022,daan,0.2543,21,6,0.2563,-0.2053,697.04,0.1909,1.5321,1.6646,-14.4288,False,True,False,False
patch_pingluo_006,pingluo,0.2393,22,16,0.3286,-0.2792,807.37,0.1757,1.4648,1.7024,-13.8938,False,True,False,False
patch_pingluo_020,pingluo,0.2387,23,17,0.4167,-0.368,691.14,0.2141,1.5831,1.5516,-14.8948,False,True,False,False
patch_pingluo_027,pingluo,0.238,24,18,0.3582,-0.4036,973.03,0.1587,1.4035,1.6227,-13.9129,False,True,False,False
patch_pingluo_021,pingluo,0.2337,25,19,0.4905,-0.4903,912.99,0.1902,1.5102,1.5871,-13.8907,False,True,False,False
patch_pingluo_012,pingluo,0.2307,26,20,0.3861,-0.4167,1210.45,0.147,1.3855,1.7281,-12.9558,False,True,True,True
patch_pingluo_019,pingluo,0.226,27,21,0.5484,-0.5379,799.7,0.2196,1.6106,1.6328,-13.016,False,True,False,False
patch_pingluo_023,pingluo,0.2123,28,22,0.5048,-0.4872,764.22,0.1951,1.5098,1.7275,-12.1144,False,True,False,False
